1,Q0,CACM-1410,1,40.4999452007,SYS_BM25
1,Q0,CACM-1605,2,36.9371400719,SYS_BM25
1,Q0,CACM-1506,3,33.414095495,SYS_BM25
1,Q0,CACM-1519,4,30.0300123203,SYS_BM25
1,Q0,CACM-2946,5,28.3966081379,SYS_BM25
1,Q0,CACM-1544,6,27.1412926529,SYS_BM25
1,Q0,CACM-1033,7,26.8469318959,SYS_BM25
1,Q0,CACM-0637,8,26.6814451586,SYS_BM25
1,Q0,CACM-1938,9,26.4192103173,SYS_BM25
1,Q0,CACM-1523,10,26.2481125411,SYS_BM25
1,Q0,CACM-2950,11,25.7424437047,SYS_BM25
1,Q0,CACM-1225,12,25.4629876612,SYS_BM25
1,Q0,CACM-1161,13,25.2277214838,SYS_BM25
1,Q0,CACM-2535,14,24.7996806867,SYS_BM25
1,Q0,CACM-1341,15,24.2920385109,SYS_BM25
1,Q0,CACM-3025,16,23.812538443,SYS_BM25
1,Q0,CACM-2621,17,23.3377037095,SYS_BM25
1,Q0,CACM-1113,18,22.3783778323,SYS_BM25
1,Q0,CACM-1526,19,22.3676606784,SYS_BM25
1,Q0,CACM-0397,20,22.2843147357,SYS_BM25
1,Q0,CACM-1315,21,22.2522698773,SYS_BM25
1,Q0,CACM-1885,22,22.0681406033,SYS_BM25
1,Q0,CACM-1753,23,21.8032257463,SYS_BM25
1,Q0,CACM-2319,24,21.4260204245,SYS_BM25
1,Q0,CACM-0585,25,21.4031969658,SYS_BM25
1,Q0,CACM-2379,26,21.3331099915,SYS_BM25
1,Q0,CACM-2288,27,21.2731988912,SYS_BM25
1,Q0,CACM-1226,28,21.1159104043,SYS_BM25
1,Q0,CACM-2357,29,21.0661214275,SYS_BM25
1,Q0,CACM-3127,30,20.8038703847,SYS_BM25
1,Q0,CACM-2054,31,20.7263411887,SYS_BM25
1,Q0,CACM-2947,32,20.6913078677,SYS_BM25
1,Q0,CACM-2380,33,20.5847016231,SYS_BM25
1,Q0,CACM-2912,34,20.4969295465,SYS_BM25
1,Q0,CACM-1805,35,20.281670309,SYS_BM25
1,Q0,CACM-2371,36,20.2080269848,SYS_BM25
1,Q0,CACM-1179,37,20.17501609,SYS_BM25
1,Q0,CACM-0040,38,20.0863192388,SYS_BM25
1,Q0,CACM-2358,39,20.0313371535,SYS_BM25
