qID,Q0,DocID,Rank,Sim_Val,Sys_Name,Precision,Recall
35,Q0,CACM-2932,1,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,2,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,3,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,4,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,5,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,6,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,7,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,8,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,9,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,10,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,11,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,12,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,13,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,14,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,15,0.31612265,lucene,NA,NA
35,Q0,CACM-2932,16,0.31612265,lucene,NA,NA
35,Q0,CACM-2836,17,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,18,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,19,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,20,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,21,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,22,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,23,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,24,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,25,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,26,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,27,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,28,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,29,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,30,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,31,0.13420635,lucene,NA,NA
35,Q0,CACM-2836,32,0.13420635,lucene,NA,NA
35,Q0,CACM-1474,33,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,34,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,35,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,36,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,37,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,38,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,39,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,40,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,41,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,42,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,43,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,44,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,45,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,46,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,47,0.12978013,lucene,NA,NA
35,Q0,CACM-1474,48,0.12978013,lucene,NA,NA
35,Q0,CACM-3175,49,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,50,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,51,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,52,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,53,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,54,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,55,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,56,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,57,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,58,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,59,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,60,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,61,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,62,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,63,0.12022125,lucene,NA,NA
35,Q0,CACM-3175,64,0.12022125,lucene,NA,NA
35,Q0,CACM-2090,65,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,66,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,67,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,68,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,69,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,70,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,71,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,72,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,73,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,74,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,75,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,76,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,77,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,78,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,79,0.10493966,lucene,NA,NA
35,Q0,CACM-2090,80,0.10493966,lucene,NA,NA
35,Q0,CACM-3071,81,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,82,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,83,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,84,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,85,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,86,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,87,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,88,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,89,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,90,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,91,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,92,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,93,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,94,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,95,0.10161799,lucene,NA,NA
35,Q0,CACM-3071,96,0.10161799,lucene,NA,NA
35,Q0,CACM-2165,97,0.09250793,lucene,NA,NA
35,Q0,CACM-2165,98,0.09250793,lucene,NA,NA
35,Q0,CACM-2165,99,0.09250793,lucene,NA,NA
35,Q0,CACM-2165,100,0.09250793,lucene,NA,NA
36,Q0,CACM-2030,1,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,2,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,3,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,4,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,5,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,6,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,7,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,8,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,9,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,10,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,11,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,12,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,13,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,14,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,15,0.7775346,lucene,0.0,0.0
36,Q0,CACM-2030,16,0.7775346,lucene,0.0,0.0
